Customer ID,Customer Name,Customer Country,Customer Type
CUST - 001,Customer 1,FR,External
CUST - 002,Customer 2,SK,External
CUST - 003,Customer 3,ES,External
CUST - 004,Customer 4,DE,External
CUST - 005,Customer 5,DE,Internal
CUST - 006,Customer 6,PL,External
CUST - 007,Customer 7,US,Internal
CUST - 008,Customer 8,PL,External
CUST - 009,Customer 9,PL,External
CUST - 010,Customer 10,DE,External
CUST - 011,Customer 11,DE,External
CUST - 012,Customer 12,IT,External
CUST - 013,Customer 13,MX,Internal
CUST - 014,Customer 14,DE,External
CUST - 015,Customer 15,DE,External
CUST - 016,Customer 16,BR,Internal
CUST - 017,Customer 17,FR,Internal
CUST - 018,Customer 18,FI,External
CUST - 019,Customer 19,AT,External
CUST - 020,Customer 20,ES,External
CUST - 021,Customer 21,RO,External
CUST - 022,Customer 22,FR,External
CUST - 023,Customer 23,DE,External
CUST - 024,Customer 24,MX,External
CUST - 025,Customer 25,SK,Internal
CUST - 026,Customer 26,DE,External
CUST - 027,Customer 27,MA,External
CUST - 028,Customer 28,DE,External
CUST - 029,Customer 29,PL,External
CUST - 030,Customer 30,IT,External
CUST - 031,Customer 31,PL,Internal
CUST - 032,Customer 32,CN,Internal
CUST - 033,Customer 33,DE,External
CUST - 034,Customer 34,US,External
CUST - 035,Customer 35,US,External
CUST - 036,Customer 36,US,External
CUST - 037,Customer 37,US,External
CUST - 038,Customer 38,US,External
CUST - 039,Customer 39,CZ,External
CUST - 040,Customer 40,SK,External
CUST - 041,Customer 41,ES,External
CUST - 042,Customer 42,ES,External
CUST - 043,Customer 43,HU,External
CUST - 044,Customer 44,DE,External
CUST - 045,Customer 45,PL,External
CUST - 046,Customer 46,PT,External
CUST - 047,Customer 47,HU,External
CUST - 048,Customer 48,DE,External
CUST - 049,Customer 49,BE,External
CUST - 050,Customer 50,MX,Internal
CUST - 051,Customer 51,DE,Internal
CUST - 052,Customer 52,GB,External
CUST - 053,Customer 53,US,Internal
CUST - 054,Customer 54,CN,Internal
CUST - 055,Customer 55,DE,Internal
CUST - 056,Customer 56,RS,External
CUST - 057,Customer 57,PL,External
CUST - 058,Customer 58,PL,External
CUST - 059,Customer 59,PL,External
CUST - 060,Customer 60,FR,External
CUST - 061,Customer 61,FR,External
CUST - 062,Customer 62,JP,External
CUST - 063,Customer 63,GB,External
CUST - 064,Customer 64,IT,Internal
CUST - 065,Customer 65,JP,External
CUST - 066,Customer 66,GB,External
CUST - 067,Customer 67,DE,External
CUST - 068,Customer 68,GB,External
CUST - 069,Customer 69,GB,External
CUST - 070,Customer 70,GB,External
CUST - 071,Customer 71,GB,External
CUST - 072,Customer 72,PL,External
CUST - 073,Customer 73,GB,External
CUST - 074,Customer 74,GB,External
CUST - 075,Customer 75,US,External
CUST - 076,Customer 76,IT,External
CUST - 077,Customer 77,GB,External
CUST - 078,Customer 78,GB,External
CUST - 079,Customer 79,GB,External
CUST - 080,Customer 80,GB,External
CUST - 081,Customer 81,GB,External
CUST - 082,Customer 82,KR,External
CUST - 083,Customer 83,JP,External
